Student,L002,V008,V009,V010,V011,V012,V013,V014
S001,54,65,73,82,68,67,90,80
S002,49,50,44,50,44,40,49,40
S003,56,79,69,83,89,70,90,84
S004,36,50,41,54,45,51,35,50
S005,43,65,41,31,50,58,38,49
S006,59,73,44,54,70,68,45,50
S007,66,68,44,91,75,71,64,67
S008,61,75,58,81,72,79,51,59
S009,53,72,42,52,57,53,29,37
S010,50,42,41,40,48,54,42,53
S011,48,68,57,73,70,62,52,56
S012,51,77,56,61,71,64,61,60
S013,56,45,43,57,66,55,47,55
S014,59,89,62,84,87,77,74,52
S015,0,0,0,0,0,0,0,0
S016,40,51,42,64,50,50,66,49
S017,52,38,44,52,46,36,37,37
S018,55,78,54,90,82,79,76,89
S019,63,83,57,84,86,79,82,89
S020,54,61,44,41,47,56,43,51
S021,68,57,43,58,66,63,46,50
S022,53,50,63,53,54,61,35,59
S023,47,50,43,41,46,56,45,47
S024,43,55,49,41,54,47,47,35
S025,52,52,45,49,61,51,56,49
S026,46,64,43,56,61,70,47,50
S027,36,50,41,57,40,39,47,37
S028,55,74,48,90,83,74,69,75
S029,44,56,45,51,57,52,57,47
S030,59,59,43,87,65,65,67,50
S031,0,0,0,1,10,0,0,0
S033,61,88,61,81,74,84,71,87
S036,0,0,0,7,19,0,0,0
S037,52,56,42,47,53,61,55,60
S038,52,46,43,44,59,67,43,53
S040,53,57,45,49,53,58,48,45
S041,64,79,41,92,83,66,71,64
S042,48,61,48,42,45,37,33,40
S043,54,45,43,43,48,52,38,49
S044,52,73,59,70,68,79,46,65
S045,53,89,46,62,74,79,81,63
S046,58,86,43,75,77,75,65,53
S047,64,67,44,85,70,74,70,51
S049,0,0,0,0,0,0,0,0
S050,57,77,61,89,78,73,65,83
S051,49,37,52,41,46,64,40,47
S052,0,0,0,0,0,0,0,0
S053,62,67,64,85,74,68,38,57
S054,50,61,46,66,69,58,51,49
S055,50,69,58,63,59,57,67,49
S056,61,85,63,89,77,64,81,85
S057,64,84,48,93,83,84,92,83
S058,58,67,52,72,81,66,67,43
S059,69,97,66,88,85,82,73,88
S060,67,84,57,88,83,74,51,67
S061,46,67,59,61,62,70,41,58
S062,50,,53,50,,,,55
S064,55,82,73,92,74,66,69,86
S065,61,76,54,96,79,54,70,60
S066,55,25,45,34,63,66,29,48
S067,60,68,61,86,83,69,53,56
S068,60,87,69,69,76,82,53,61
S069,59,81,58,75,77,72,58,58
S070,51,59,49,78,60,56,60,58
S071,35,67,0,63,57,57,50,0
S073,62,78,55,50,77,82,53,38
S074,60,79,49,61,71,67,50,39
S075,49,65,53,89,77,70,69,77
S076,59,55,43,45,57,58,45,48
S077,54,66,47,85,57,64,45,71
S078,48,24,44,27,42,41,41,44
S079,62,73,46,30,65,77,49,42
S080,61,64,56,56,57,62,41,52
S081,65,75,44,85,73,80,72,83
S082,64,88,66,89,83,80,79,68
S083,54,76,54,62,56,67,49,45
S084,53,83,51,59,66,76,49,62
S085,65,87,49,71,87,82,89,80
