Student,L003,V015,V016,V017,V018
S001,50,78,91,58,77
S002,56,54,46,54,56
S003,56,85,90,63,82
S004,53,52,47,49,66
S005,37,44,54,50,47
S006,60,65,55,56,62
S007,60,74,68,56,75
S008,55,71,68,54,66
S010,51,40,52,49,53
S011,50,67,68,52,69
S012,47,58,62,54,65
S013,45,45,55,45,69
S014,51,75,65,55,63
S015,0,0,0,0,0
S016,54,38,56,51,61
S017,35,49,52,48,67
S018,55,89,82,60,83
S019,57,81,76,60,76
S020,45,52,56,49,54
S021,58,72,66,63,58
S022,46,78,57,54,62
S023,40,50,48,56,49
S024,39,52,55,47,44
S025,55,60,52,54,55
S026,53,63,61,53,57
S027,37,49,56,46,53
S028,47,75,75,63,82
S029,51,53,54,53,48
S030,52,62,84,61,79
S033,47,67,74,61,63
S037,48,58,65,66,58
S038,46,62,47,62,54
S040,43,61,66,56,58
S041,56,70,75,53,76
S042,40,46,51,43,49
S043,46,54,54,46,48
S044,50,59,66,53,63
S045,41,79,68,62,73
S046,56,76,87,60,81
S047,59,66,56,60,74
S050,51,58,71,57,68
S051,38,48,46,52,51
S053,53,61,76,62,70
S054,43,64,52,56,40
S055,47,77,50,56,52
S056,54,74,47,61,73
S057,65,74,84,61,83
S058,49,71,60,64,65
S059,64,75,73,65,71
S060,56,75,68,65,70
S061,49,65,71,59,51
S062,43,62,51,50,63
S064,57,70,74,54,68
S065,56,70,45,67,56
S066,52,71,54,54,58
S067,53,76,52,53,70
S068,55,76,81,59,84
S069,53,57,64,48,72
S070,42,63,77,53,69
S071,0,0,0,0,0
S073,54,70,50,53,54
S074,55,57,58,51,56
S075,58,66,52,63,65
S076,50,61,51,57,62
S077,13,18,0,0,0
S078,27,41,30,48,51
S079,53,60,52,60,63
S080,52,50,34,51,41
S081,65,68,69,58,64
S082,59,73,90,56,84
S083,56,59,69,54,54
S084,55,43,70,62,63
S085,62,76,75,58,78
