Student,L004,V019,V020,V021,V022,V023,V024
S001,63,76,70,75,80,70,83
S002,50,,71,52,53,47,60
S003,67,74,69,80,81,79,74
S004,50,,60,56,,43,70
S005,36,58,60,51,46,52,68
S006,66,,75,56,61,61,71
S007,46,11,62,67,84,0,0
S008,67,79,69,70,69,68,73
S010,50,56,61,47,43,50,64
S011,58,68,66,61,64,56,70
S012,55,74,71,71,70,67,74
S013,48,57,54,60,59,51,73
S014,49,74,65,75,86,72,79
S016,45,,63,62,52,41,73
S017,42,,61,57,39,35,57
S018,60,77,72,78,81,75,79
S019,68,82,72,74,80,81,82
S020,42,63,53,55,64,53,53
S021,50,77,64,67,65,64,79
S022,63,72,57,57,53,63,59
S023,47,47,64,45,40,48,57
S024,52,,57,51,60,48,62
S025,47,,55,53,50,50,54
S026,58,57,73,53,51,45,64
S027,47,,61,48,48,45,72
S028,52,80,68,65,72,63,81
S029,49,50,58,49,52,47,68
S030,70,71,70,76,68,56,80
S033,64,74,63,69,76,74,72
S037,47,73,67,66,59,64,64
S038,48,67,54,51,56,58,72
S040,41,64,53,62,53,48,61
S041,52,68,79,78,76,61,78
S042,53,,59,53,39,39,69
S043,45,56,54,59,50,40,61
S044,63,76,72,67,72,60,60
S045,66,77,68,83,81,72,89
S046,52,83,66,78,79,75,80
S047,58,71,65,65,68,64,65
S050,62,57,62,66,64,58,74
S051,61,39,53,59,,43,62
S053,65,71,69,67,67,55,62
S054,53,59,68,54,61,54,68
S055,56,55,56,63,50,45,66
S056,50,53,66,56,53,55,40
S057,62,82,74,75,82,76,74
S058,58,80,70,56,60,66,68
S059,65,76,64,73,71,77,78
S060,68,74,77,71,73,67,72
S061,51,72,64,68,71,70,82
S062,55,,65,63,54,,74
S064,56,70,74,65,64,66,62
S066,66,52,56,62,,56,61
S067,62,72,71,72,66,64,71
S068,56,86,69,71,75,72,80
S069,60,64,57,68,60,59,65
S070,44,77,68,70,72,68,74
S073,69,61,65,56,66,65,74
S074,59,58,66,59,52,54,57
S075,47,64,68,60,60,63,66
S076,55,61,53,51,48,55,73
S079,63,58,65,69,64,47,74
S081,64,70,70,68,68,78,73
S082,67,96,72,74,75,90,74
S083,66,58,64,63,51,57,71
S084,53,72,63,69,64,64,74
S085,59,68,71,76,80,58,83
